NAME                                   CPU(cores)   MEMORY(bytes)   
client-deployment-fcb9dfdfd-jqjpl      1m           185Mi           
client-deployment-fcb9dfdfd-lqkwc      1m           170Mi           
postgres-deployment-76ff95bd89-fg4gw   1m           28Mi            
server-deployment-df4cd7659-8h5nj      142m         86Mi            
server-deployment-df4cd7659-hz44d      144m         89Mi            
server-deployment-df4cd7659-nn277      150m         86Mi            
server-deployment-df4cd7659-vq4zs      138m         84Mi            
server-deployment-df4cd7659-wwdkz      150m         87Mi            
