LAST SEEN   TYPE      REASON              OBJECT                                      MESSAGE
14m         Normal    Started             pod/client-deployment-6bc46cc7c9-kqhww      Started container client
14m         Normal    Created             pod/client-deployment-6bc46cc7c9-kqhww      Created container: client
14m         Warning   FailedCreate        replicaset/postgres-deployment-5dccff8cd9   Error creating: pods "postgres-deployment-5dccff8cd9-d2qt6" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Normal    Created             pod/server-deployment-7b677fc6c4-rnh6z      Created container: server
14m         Normal    Started             pod/server-deployment-7b677fc6c4-rnh6z      Started container server
14m         Normal    Pulled              pod/client-deployment-6bc46cc7c9-kqhww      Container image "joseberrocal/poc09-client:ef84342" already present on machine
14m         Normal    SuccessfulDelete    replicaset/server-deployment-558fc48947     Deleted pod: server-deployment-558fc48947-w9nbm
14m         Warning   FailedCreate        replicaset/postgres-deployment-5dccff8cd9   Error creating: pods "postgres-deployment-5dccff8cd9-25h4c" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Normal    ScalingReplicaSet   deployment/client-deployment                Scaled down replica set client-deployment-b887ddf88 from 2 to 1
14m         Normal    Killing             pod/client-deployment-b887ddf88-7nn5k       Stopping container client
14m         Normal    ScalingReplicaSet   deployment/server-deployment                Scaled up replica set server-deployment-7b677fc6c4 from 1 to 2
14m         Normal    ScalingReplicaSet   deployment/client-deployment                Scaled up replica set client-deployment-6bc46cc7c9 from 1 to 2
14m         Normal    Killing             pod/server-deployment-558fc48947-w9nbm      Stopping container server
14m         Normal    SuccessfulDelete    replicaset/client-deployment-b887ddf88      Deleted pod: client-deployment-b887ddf88-7nn5k
14m         Warning   FailedCreate        replicaset/client-deployment-6bc46cc7c9     Error creating: pods "client-deployment-6bc46cc7c9-tw6fc" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Normal    ScalingReplicaSet   deployment/server-deployment                Scaled down replica set server-deployment-558fc48947 from 3 to 2
14m         Warning   FailedCreate        replicaset/server-deployment-7b677fc6c4     Error creating: pods "server-deployment-7b677fc6c4-492r6" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Warning   FailedCreate        replicaset/server-deployment-7b677fc6c4     Error creating: pods "server-deployment-7b677fc6c4-rjv6f" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Warning   FailedCreate        replicaset/server-deployment-7b677fc6c4     Error creating: pods "server-deployment-7b677fc6c4-nfxfz" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Normal    SuccessfulCreate    replicaset/server-deployment-7b677fc6c4     Created pod: server-deployment-7b677fc6c4-ktncd
14m         Normal    Scheduled           pod/client-deployment-6bc46cc7c9-cn246      Successfully assigned poc18-security-tenant-b/client-deployment-6bc46cc7c9-cn246 to ip-10-0-2-63.eu-west-1.compute.internal
14m         Normal    Scheduled           pod/server-deployment-7b677fc6c4-ktncd      Successfully assigned poc18-security-tenant-b/server-deployment-7b677fc6c4-ktncd to ip-10-0-1-244.eu-west-1.compute.internal
14m         Normal    SuccessfulCreate    replicaset/client-deployment-6bc46cc7c9     Created pod: client-deployment-6bc46cc7c9-cn246
14m         Normal    Pulled              pod/client-deployment-6bc46cc7c9-cn246      Container image "joseberrocal/poc09-client:ef84342" already present on machine
14m         Normal    Created             pod/client-deployment-6bc46cc7c9-cn246      Created container: client
14m         Normal    Started             pod/server-deployment-7b677fc6c4-ktncd      Started container server
14m         Normal    Created             pod/server-deployment-7b677fc6c4-ktncd      Created container: server
14m         Normal    Pulled              pod/server-deployment-7b677fc6c4-ktncd      Container image "joseberrocal/poc09-server:ef84342" already present on machine
14m         Warning   FailedCreate        replicaset/server-deployment-7b677fc6c4     Error creating: pods "server-deployment-7b677fc6c4-vn2dh" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Normal    Killing             pod/server-deployment-558fc48947-r2qhz      Stopping container server
14m         Warning   FailedCreate        replicaset/server-deployment-7b677fc6c4     Error creating: pods "server-deployment-7b677fc6c4-zvpzk" is forbidden: exceeded quota: poc18-security-tenant-b-quota, requested: limits.cpu=500m,limits.memory=512Mi, used: limits.cpu=4,limits.memory=4Gi, limited: limits.cpu=4,limits.memory=4Gi
14m         Normal    ScalingReplicaSet   deployment/server-deployment                Scaled up replica set server-deployment-7b677fc6c4 from 2 to 3
14m         Normal    ScalingReplicaSet   deployment/server-deployment                Scaled down replica set server-deployment-558fc48947 from 2 to 1
14m         Normal    Started             pod/client-deployment-6bc46cc7c9-cn246      Started container client
